Player,Team,League,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",xA per 90,Key passes per 90,Passes to final third per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Aerial duels per 90,"Direct free kicks on target, %","Penalty conversion, %"
W. Saliba,Arsenal,Premier League,Centre-back,22,55000000,2027-06-30,8,819,0,0.17,0,0.08,9.67,64.77,France,"France, Cameroon",right,192,85,no,6.59,3.63,78.79,3.41,54.84,0.33,0.51,0.55,3.41,5.25,0.22,0,0,0,0,0,0,0,0.02,0,0,2,0.22,0,0,0,0,0,0.44,25,1.32,41.67,0.33,0.55,0,52.97,0.22,65.93,96.17,17.91,89.57,0.01,0,5.71,4.62,83.33,0,,0,,0,0,0,0,,,1.1,,0,0
L. Martínez,Manchester United,Premier League,Centre-back,25,50000000,2027-06-30,5,412,0,0,0,0.17,12.89,47.46,Argentina,Argentina,left,178,77,no,7.86,6.12,60.71,1.75,12.5,1.09,1.35,0.44,3.06,3.78,0.44,2,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.44,100,1.53,57.14,0.22,1.97,0.22,39.54,0.44,54.17,92.74,18.57,84.71,0.04,0,8.96,6.12,85.71,0,,0,,0,0,0,0,,,2.62,,0,0
D. Alaba,Real Madrid,La Liga,Centre-back,31,50000000,2026-06-30,7,653,0,0.41,1,0.32,7.86,57.89,Austria,Austria,left,180,78,no,6.06,3.17,69.57,1.1,37.5,0.41,0.64,0.28,3.45,5.36,0.41,2,0.28,0,0,0,0,0,0.06,0,0,5,0.69,20,0,0.14,0.69,20,0.14,100,0.96,57.14,0.69,1.1,0.28,42.73,0,54.85,92.96,19.16,85.61,0.04,0,6.75,7.17,80.77,0,,0,,0,0,0,0,,,1.52,,0,0
L. Hernández,PSG,Ligue 1,Centre-back,27,50000000,2024-06-30,7,613,0,0.12,1,1.07,14.39,56.12,France,"France, Spain",left,184,79,no,7.93,6.31,55.81,2.94,55,0.15,0.27,0.15,4.26,7.77,1.17,1,0.15,0,0,0,0,0,0.02,0,0,3,0.44,0,0,0.15,1.91,30.77,2.06,64.29,3.52,58.33,1.03,2.64,1.03,71.06,1.47,84.57,90.1,28.04,85.86,0.16,0.44,11.45,11.01,74.67,0,,0,,0,0,0,0,,,1.03,,0,0
Gabriel Magalhaes,Arsenal,Premier League,Centre-back,25,50000000,2027-06-30,7,552,0,0,0,0,12.39,53.95,Brazil,Brazil,left,190,87,no,7.17,4.73,68.97,2.93,44.44,0,0,1.3,3.91,5.26,0.98,1,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,2.12,30.77,0,0.65,0,42.55,0.98,50.22,90.58,17.28,82.08,0,0,5.22,6.85,59.52,0,,0,,0,0,0,0,,,2.77,,0,0
B. White,Arsenal,Premier League,Centre-back,26,50000000,2026-06-30,8,819,1,0.73,0,0.35,9.67,51.14,England,England,right,185,77,no,6.04,3.74,64.71,1.87,35.29,0.22,0.34,0.77,3.41,5.25,0.33,1,0.11,0,0,0.11,1,0.11,0.08,1,0.11,3,0.33,66.67,33.333,0,1.65,40,0.66,33.33,1.54,35.71,1.65,1.1,0.11,49.01,0.22,57.69,90.1,20.55,82.35,0.04,0.22,7.58,7.8,84.51,0,,0,,0,0,0,0,,,1.98,,0,0
Kim Min-Jae,Bayern München,Bundesliga,Centre-back,26,50000000,2025-06-30,7,654,0,0.14,0,0.04,16.1,61.54,Korea Republic,Korea Republic,right,190,81,no,8.39,5.5,70,6.47,63.83,0.28,0.44,0.55,4.27,6.79,1.1,1,0.14,0,0,0,0,0,0.02,0,0,2,0.28,50,0,0,0.14,0,0.14,100,1.24,11.11,0.55,1.38,0.28,71.56,0,92.61,94.21,42.25,90.88,0,0.14,10.05,12.25,83.15,0,,0,,0,0,0,0,,,2.06,,0,0
S. Botman,Newcastle United,Premier League,Centre-back,23,45000000,2027-06-30,5,506,1,0.41,1,0.41,10.32,68.97,Netherlands,Netherlands,left,193,81,no,7.83,4.09,78.26,3.38,63.16,0,0,0.71,4.62,6.29,0.36,1,0.18,0,0,0.18,1,0.18,0.07,1,0.18,4,0.71,25,25,0.18,0.18,0,0.36,50,0.71,50,1.25,0,0,42.69,0.36,57.27,92.55,20.63,87.93,0.07,0.18,4.09,6.94,66.67,0,,0,,0,0,0,0,,,0.89,,0,0
F. Tomori,Milan,Serie A,Centre-back,25,45000000,2027-06-30,7,667,1,0.66,0,0,14.17,60.95,Canada,"Canada, England",right,185,79,no,9.45,7.02,67.31,2.83,57.14,0.27,0.39,0.94,4.45,6.39,0.94,2,0.27,1,0.13,0.13,1,0.13,0.09,0,0,5,0.67,60,20,0,0.13,0,0.54,25,2.7,35,0.54,0.81,0.13,53.43,0.13,69.36,93.77,20.37,85.43,0,0,3.78,6.48,70.83,0,,0,,0,0,0,0,,,2.7,,0,0
Pau Torres,Aston Villa,Premier League,Centre-back,26,45000000,2024-06-30,8,810,1,0.41,0,0,9,53.09,Spain,Spain,left,191,80,no,4.22,4.22,55.26,1.44,53.85,0,0,0.11,1.89,2.46,0.56,0,0,0,0,0.11,1,0.11,0.05,0,0,2,0.22,100,50,0,0.11,100,1.11,70,1.56,64.29,0.33,1.67,0.11,37.33,0.22,51.33,90.69,17.56,81.01,0,0,6.78,8.44,71.05,0,,0,,0,0,0,0,,,2.11,,0,0
