Player,Team,League,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",xA per 90,Key passes per 90,Passes to final third per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Aerial duels per 90,"Direct free kicks on target, %","Penalty conversion, %"
B. Henrichs,RB Leipzig,Bundesliga,Full-back,26,15000000,2025-06-30,6,577,1,1.27,1,0.43,14.51,60.22,Germany,"Germany, Ghana",right,183,79,no,9.67,6.71,65.12,1.87,66.67,0.78,1.05,0.47,4.52,6.08,0.94,1,0.16,0,0,0.16,1,0.16,0.2,0,0,11,1.72,36.36,9.091,0.16,1.87,25,1.87,83.33,4.99,53.13,1.25,0.94,0,34.63,1.09,44.45,77.54,16.07,64.08,0.07,0.31,6.71,9.05,72.41,0,,0,,0,0,0,0,,,0.62,,0,0
Alfonso Pedraza,Villarreal,La Liga,Full-back,27,15000000,2026-06-30,7,511,0,0.05,2,0.93,17.26,56.12,Spain,Spain,left,184,73,no,8.1,7.4,54.76,1.59,44.44,0.7,0.94,0.18,3.35,4.49,1.06,1,0.18,1,0.18,0,0,0,0.01,0,0,2,0.35,50,0,0.35,3.87,27.27,4.05,65.22,6.16,62.86,1.59,2.82,2.29,23.42,1.59,34.7,80.71,8.81,72,0.16,0.88,2.11,5.11,68.97,0,,0,,0,0,0,0,,,0.53,,0,0
K. Walker,Manchester City,Premier League,Full-back,33,15000000,2026-06-30,8,808,0,0.03,1,0.74,11.7,52.38,England,England,right,183,83,no,5.24,4.23,63.16,1.23,45.45,0.11,0.18,0,2.45,4.05,0.56,1,0.11,0,0,0,0,0,0,0,0,3,0.33,33.33,0,0.11,2,38.89,1,55.56,4.01,47.22,1.23,2.23,1,49.57,1,59.93,90.33,10.8,73.2,0.08,0.33,6.79,7.24,83.08,0,,0,,0,0,0,0,,,1.45,,0,0
Nélson Semedo,Wolverhampton Wanderers,Premier League,Full-back,29,15000000,2025-06-30,8,803,0,0.2,0,0.17,18.49,46.67,Portugal,"Portugal, Cape Verde Islands",right,177,69,no,8.74,8.74,50,1.68,40,0.11,0.13,0.22,4.26,5.07,1.68,4,0.45,0,0,0,0,0,0.02,0,0,3,0.34,33.33,0,0,1.79,31.25,1.46,76.92,5.6,50,0.45,1.57,0.45,27.46,0.56,38.89,80.69,14.91,73.68,0.02,0.11,3.81,7.06,53.97,0,,0,,0,0,0,0,,,0.45,,0,0
J. Clauss,Olympique Marseille,Ligue 1,Full-back,31,15000000,2025-06-30,8,789,0,0.11,0,1.29,12.66,51.35,France,France,right,178,69,no,8.44,6.5,61.4,2.17,36.84,0,0,0.11,4.45,5.76,0.23,1,0.11,0,0,0,0,0,0.01,0,0,5,0.57,0,0,0,3.99,22.86,1.37,50,2.4,38.1,1.25,2.05,0.91,40.04,0.46,52.59,77.44,18.48,69.75,0.15,0.57,7.19,12.21,78.5,0,,0,,0,0,0,0,,,0.57,,0,0
L. Spinazzola,Roma,Serie A,Full-back,30,15000000,2024-06-30,8,615,1,0.1,2,1.4,15.51,48.11,Italy,Italy,right,186,75,no,5.71,5.41,54.05,0.88,33.33,0,0,0,2.78,4.07,0.73,0,0,0,0,0.15,1,0.15,0.01,0,0,4,0.59,50,25,0.29,4.24,48.28,5.85,50,7.61,44.23,1.61,7.17,1.17,31.32,0.29,40.83,81.72,10.98,66.67,0.2,0.88,4.24,7.61,73.08,0,,0,,0,0,0,0,,,0.15,,0,0
R. Kristensen,Roma,Serie A,Full-back,26,15000000,2027-06-30,7,473,0,0.03,1,0.36,13.7,44.44,Denmark,Denmark,right,187,83,yes,7.23,6.09,56.25,2.28,50,0,0,0,3.81,5.77,0.57,1,0.19,0,0,0,0,0,0.01,0,0,1,0.19,100,0,0.19,2.85,33.33,1.33,28.57,2.85,26.67,1.33,0.57,0,35.58,0.19,42.81,78.22,12.75,59.7,0.07,0.57,2.47,6.47,50,0,,0,,0,0,0,0,,,0.19,,0,0
J. Maehle,Wolfsburg,Bundesliga,Full-back,26,14000000,2025-06-30,7,666,1,0.52,0,0.62,15.41,50,Denmark,Denmark,right,185,79,no,9.86,6.22,71.74,1.89,42.86,0.41,0.5,0,5,6.13,0.68,1,0.14,0,0,0.14,1,0.14,0.07,0,0,9,1.22,44.44,11.111,0,1.62,25,2.3,58.82,5.41,37.5,1.76,2.57,1.22,27.97,0.68,39.46,82.19,11.62,70.93,0.08,0.54,3.92,6.62,71.43,0,,0,,0,0,0,0,,,1.22,,0,0
N. Patterson,Everton,Premier League,Full-back,22,14000000,2027-06-30,7,453,0,0.56,1,1,16.49,49.4,Scotland,Scotland,right,183,72,no,9.93,8.34,59.52,1.59,25,0.6,0.76,0,4.37,5.59,0.6,1,0.2,0,0,0,0,0,0.11,0,0,4,0.79,0,0,0.2,4.17,19.05,1.79,55.56,3.77,47.37,1.59,1.99,0.4,29.8,0.2,42.32,75.12,16.89,60,0.2,0.4,6.75,8.94,73.33,0,,0,,0,0,0,0,,,0.4,,0,0
R. Baku,Wolfsburg,Bundesliga,Full-back,25,13000000,2025-06-30,7,408,0,0.27,0,0.55,15.88,36.11,Germany,"Germany, Congo DR",right,176,75,no,11.47,5.74,46.15,2.21,20,0,0,0,8.82,12,0.66,0,0,0,0,0,0,0,0.06,0,0,5,1.1,60,0,0,2.43,45.45,2.21,40,6.18,39.29,2.21,1.32,0,30,1.1,43.01,80,15.66,70.42,0.12,0.66,6.18,8.6,82.05,0,,0,,0,0,0,0,,,1.76,,0,0
K. Trippier,Newcastle United,Premier League,Full-back,33,13000000,2025-06-30,8,788,0,0.03,4,4.4,15.65,51.09,England,England,right,178,71,no,9.37,6.62,46.55,2.74,70.83,0.23,0.31,0.57,6.05,8.15,0.91,1,0.11,0,0,0,0,0,0,0,0,2,0.23,0,0,0.46,3.2,35.71,0.69,66.67,2.51,50,1.03,0.69,0.46,52.42,0.91,64.87,85.39,23.53,79.13,0.5,1.03,6.85,11.88,75,0,,0,,0,0,0,0,,,2.4,,0,0
K. Tete,Fulham,Premier League,Full-back,27,12000000,2024-06-30,5,466,0,0.24,0,0.14,18.35,45.26,Netherlands,"Netherlands, Mozambique",right,180,71,no,10.04,7.53,53.85,2.12,36.36,1.55,1.9,0.19,4.44,5.48,1.35,2,0.39,0,0,0,0,0,0.05,0,0,1,0.19,0,0,0,2.9,53.33,1.93,40,5.21,44.44,0.77,0.97,0.19,32.83,1.16,42.3,86.3,15.64,82.72,0.03,0,5.6,7.92,78.05,0,,0,,0,0,0,0,,,0.58,,0,0
V. Kristiansen,Bologna,Serie A,Full-back,20,12000000,2028-06-30,5,425,0,0.05,1,0.88,8.26,46.15,Denmark,Denmark,left,181,72,yes,6.56,4.02,47.37,0.64,100,0,0,0.21,4.66,7.25,1.06,1,0.21,0,0,0,0,0,0.01,0,0,2,0.42,50,0,0.21,2.12,50,0.42,50,2.33,27.27,1.27,1.06,0.85,30.92,0.21,39.18,83.24,12.71,68.33,0.19,1.27,3.81,6.99,60.61,0,,0,,0,0,0,0,,,0.64,,0,0
Thierry Correia,Valencia,La Liga,Full-back,24,12000000,2026-06-30,8,703,0,0.2,1,0.09,17.8,54.68,Portugal,"Portugal, Cape Verde Islands",right,179,65,no,9.47,7.94,62.9,1.66,38.46,0.64,0.84,0.13,3.84,5.06,1.15,1,0.13,0,0,0,0,0,0.03,0,0,2,0.26,50,0,0.13,2.3,33.33,2.3,66.67,5.5,46.51,0.38,1.41,0.26,29.32,0.9,40.07,78.27,17.03,71.43,0.01,0.26,6.02,8.19,67.19,0,,0,,0,0,0,0,,,0.26,,0,0
A. Robinson,Fulham,Premier League,Full-back,26,12000000,2028-06-30,7,724,0,0.1,0,0.39,21.13,57.06,England,"England, United States",left,183,73,no,12.68,10.32,68.67,2.98,54.17,0.12,0.15,0,5.47,6.67,0.99,1,0.12,0,0,0,0,0,0.01,0,0,1,0.12,0,0,0,3.11,32,2.11,58.82,5.1,51.22,0.99,1.37,0.99,26.48,0.75,38.66,78.46,15.79,72.44,0.05,0.25,5.22,10.07,67.9,0,,0,,0,0,0,0,,,1.49,,0,0
T. Weah,Juventus,Serie A,Full-back,23,12000000,2024-06-30,8,333,0,0.56,0,0.54,11.89,56.82,United States,"United States, France",right,183,66,no,7.3,4.05,66.67,1.62,50,0.54,0.75,0.54,4.05,5.63,0.54,0,0,0,0,0,0,0,0.15,0,0,6,1.62,16.67,0,0,2.7,60,2.16,87.5,4.59,58.82,1.62,1.08,0.27,25.95,0.81,35.41,83.97,7.3,70.37,0.15,0.81,2.16,4.59,76.47,0,,0,,0,0,0,0,,,0.54,,0,0
D. Burn,Newcastle United,Premier League,Full-back,31,12000000,2025-06-30,8,816,1,1.24,0,0.16,15.11,54.74,England,England,left,198,87,no,10.7,7.5,64.71,3.53,65.63,0.55,0.74,0.33,5.29,7.13,0.66,1,0.11,0,0,0.11,1,0.11,0.14,1,0.11,6,0.66,33.33,16.667,0,0.88,25,0,0,1.1,50,0.99,0.66,0.11,30.22,0.33,43.24,85.97,20.07,80.77,0.02,0.22,4.08,6.51,71.19,0,,0,,0,0,0,0,,,0.33,,0,0
Emerson,West Ham United,Premier League,Full-back,29,12000000,2026-06-30,8,802,0,0.29,1,0.96,14.25,55.91,Brazil,"Brazil, Italy",left,176,79,no,7.97,6.62,55.93,1.57,57.14,0.22,0.23,0.22,4.04,4.08,1.23,4,0.45,0,0,0,0,0,0.03,0,0,3,0.34,0,0,0.11,0.79,42.86,1.68,73.33,3.25,62.07,1.12,1.57,0.9,24.69,1.12,33.22,85.14,13.58,76.86,0.11,0.22,2.24,4.94,65.91,0,,0,,0,0,0,0,,,0.56,,0,0
J. Scally,Borussia M'gladbach,Bundesliga,Full-back,20,12000000,2027-06-30,7,468,1,0.06,0,0.12,15.96,45.78,United States,United States,right,184,80,no,9.81,5.96,61.29,3.27,23.53,0.19,0.21,1.15,5.96,6.6,0.77,1,0.19,0,0,0.19,1,0.19,0.01,0,0,3,0.58,33.33,33.333,0,1.92,60,2.31,50,5.58,44.83,0.19,0.19,0.38,24.81,1.15,32.88,79.53,12.5,70.77,0.02,0.38,4.81,8.27,72.09,0,,0,,0,0,0,0,,,0.96,,0,0
K. Sildillia,Freiburg,Bundesliga,Full-back,21,12000000,2026-06-30,6,453,0,0.03,0,0.53,21.46,55.56,France,"France, Guadeloupe",right,186,84,no,11.13,9.34,68.09,4.37,54.55,0.4,0.43,0.6,4.37,4.78,1.39,1,0.2,0,0,0,0,0,0.01,0,0,1,0.2,0,0,0,1.39,57.14,1.39,85.71,4.37,50,0.4,0.6,0.2,27.81,0.4,40.33,80.3,15.1,65.79,0.11,0.6,4.37,7.75,56.41,0,,0,,0,0,0,0,,,1.59,,0,0
J. Doig,Hellas Verona,Serie A,Full-back,21,10000000,2026-06-30,4,329,0,0.24,0,0.15,15.32,48.21,Scotland,Scotland,left,189,71,no,6.84,6.29,60.87,1.64,66.67,0,0,0,3.01,4.23,0.55,1,0.27,0,0,0,0,0,0.07,0,0,6,1.64,16.67,0,0,2.19,25,1.64,66.67,4.38,43.75,1.91,1.64,0.55,19.7,0.27,25.17,75,8.48,61.29,0.04,0.27,2.74,4.38,62.5,0,,0,,0,0,0,0,,,0.27,,0,0
S. Posch,Bologna,Serie A,Full-back,26,10000000,2024-06-30,5,332,0,0.52,0,0,17.89,43.94,Austria,Austria,right,190,82,no,8.67,8.67,56.25,2.44,22.22,0.54,0.74,0.81,3.25,4.44,1.9,2,0.54,0,0,0,0,0,0.14,0,0,3,0.81,33.33,0,0,1.9,42.86,1.08,100,3.8,42.86,0.81,1.08,0,50.15,0.27,57.2,85.78,20.87,75.32,0,0,6.78,10.03,70.27,0,,0,,0,0,0,0,,,1.36,,0,0
Fran García,Real Madrid,La Liga,Full-back,24,10000000,2025-06-30,7,494,0,0.34,2,0.82,15.85,50.57,Spain,Spain,left,169,63,no,9.11,9.47,51.92,1.28,28.57,0.18,0.27,0,4.01,5.89,0.55,1,0.18,0,0,0,0,0,0.06,0,0,3,0.55,0,0,0.36,3.28,38.89,1.28,71.43,3.28,55.56,0.91,1.64,1.46,40.81,0.36,50.83,88.17,12.94,84.51,0.15,0.91,3.64,4.92,66.67,0,,0,,0,0,0,0,,,1.82,,0,0
L. Thomas,Sheffield United,Premier League,Full-back,22,10000000,2024-06-30,5,426,0,0.43,0,0.16,13.94,45.45,England,England,left,181,68,yes,8.24,5.07,58.33,2.54,41.67,0,0,0.42,5.28,5.95,0.21,0,0,0,0,0,0,0,0.09,0,0,4,0.85,25,0,0,1.69,62.5,0.42,100,4.44,33.33,1.27,0,0.42,19.44,1.06,26.62,79.37,8.03,57.89,0.03,0.21,2.54,5.28,56,0,,0,,0,0,0,0,,,0.63,,0,0
J. Ryerson,Borussia Dortmund,Bundesliga,Full-back,25,10000000,2026-06-30,5,487,2,0.42,0,0.04,14.97,49.38,Norway,"Norway, United States",right,183,86,no,7.76,6.1,54.55,1.11,50,0.37,0.6,0.55,4.07,6.6,1.48,0,0,0,0,0.37,2,0.37,0.08,0,0,4,0.74,50,50,0,3.14,29.41,2.96,56.25,6.28,44.12,1.11,1.29,0.92,34.19,1.29,48.23,85.06,13.31,75,0.01,0,3.33,5.17,64.29,0,,0,,0,0,0,0,,,2.22,,0,0
H. Traoré,Real Sociedad,La Liga,Full-back,31,10000000,,9,818,0,0.02,0,0.37,12.54,53.51,Mali,Mali,right,175,64,no,7.59,5.06,54.35,2.53,65.22,0.33,0.5,0.22,4.51,6.8,1.43,3,0.33,0,0,0,0,0,0,0,0,2,0.22,0,0,0,1.1,30,1.54,57.14,2.75,52,0.22,1.1,0.55,31.03,0.44,43.9,85.96,16.28,72.97,0.04,0.22,6.49,6.82,82.26,0,,0,,0,0,0,0,,,0.77,,0,0
Y. Atal,Nice,Ligue 1,Full-back,27,10000000,2024-06-30,6,384,1,0.18,0,0.73,17.34,51.35,Algeria,Algeria,right,176,64,no,8.67,6.09,65.38,1.41,33.33,0.94,1.22,0.23,3.75,4.9,0.47,2,0.47,0,0,0.23,1,0.23,0.04,0,0,4,0.94,25,25,0,1.17,20,5.86,52,7.73,51.52,0.47,4.69,1.41,41.02,0.7,50.39,91.16,12.89,80,0.17,0.47,3.75,4.69,90,0,,0,,0,0,0,0,,,0.47,,0,0
R. Aguilar,Lens,Ligue 1,Full-back,30,10000000,2025-06-30,4,368,0,0.43,0,0.18,14.18,55.17,France,"France, Spain",right,172,69,no,7.83,6.36,65.38,1.96,50,0.49,0.72,0.24,3.18,4.7,0.24,0,0,0,0,0,0,0,0.1,0,0,4,0.98,50,0,0,4.16,35.29,1.22,40,4.16,41.18,1.71,1.96,0.24,37.91,1.71,44.51,80.77,12.47,74.51,0.04,0.49,4.4,7.34,90,0,,0,,0,0,0,0,,,0.73,,0,0
Gorosabel,Deportivo Alavés,La Liga,Full-back,27,10000000,2024-06-30,9,863,0,0.37,0,0.57,17.31,54.82,Spain,Spain,right,174,70,no,9.39,8.34,68.75,2.82,29.63,0.42,0.56,0.1,3.23,4.35,0.73,2,0.21,0,0,0,0,0,0.04,0,0,3,0.31,66.67,0,0,1.98,21.05,1.56,53.33,3.44,51.52,0.73,1.46,0.73,19.61,0.73,29.1,79.93,11.26,75.93,0.06,0.21,3.44,6.15,76.27,0,,0,,0,0,0,0,,,0.73,,0,0
Manu Sánchez,Celta de Vigo,La Liga,Full-back,23,10000000,2027-06-30,6,381,0,0.05,1,0.99,14.88,52.38,Spain,Spain,left,171,70,no,10.63,8.5,66.67,0.94,25,0.24,0.26,0,4.72,5.26,0.71,1,0.24,0,0,0,0,0,0.01,0,0,2,0.47,0,0,0.24,3.31,35.71,0.71,33.33,3.54,40,1.42,1.65,0.71,20.31,0.24,30.71,76.15,11.81,68,0.23,0.71,4.96,7.8,78.79,0,,0,,0,0,0,0,,,1.18,,0,0
M. Kerkez,Bournemouth,Premier League,Full-back,19,10000000,2026-06-30,8,736,0,0.1,0,0.1,17.98,56.46,Serbia,"Serbia, Hungary",left,176,71,no,11.62,8.32,63.24,2.69,59.09,1.71,2.12,0.49,4.65,5.76,1.47,1,0.12,0,0,0,0,0,0.01,0,0,2,0.24,0,0,0,3.18,26.92,1.47,58.33,4.77,46.15,1.1,1.59,0.86,18.22,1.22,27.27,77.58,7.95,76.92,0.01,0.12,2.57,3.79,70.97,0,,0,,0,0,0,0,,,0.61,,0,0
R. Sallai,Freiburg,Bundesliga,Full-back,26,10000000,2025-06-30,7,583,1,2.06,0,0.98,19.76,48.44,Hungary,Hungary,right,183,79,no,6.64,4.63,63.33,3.4,27.27,0.31,0.34,0.15,3.4,3.73,1.54,0,0,0,0,0.15,1,0.15,0.32,0,0,15,2.32,46.67,6.667,0,3.55,39.13,3.86,52,8.18,50.94,2.93,2.16,0.31,19.3,2.16,25.78,71.86,5.4,54.29,0.15,0.77,2.16,4.63,53.33,0,,0,,0,0,0,0,,,0.31,,0,0
J. Veltman,Brighton,Premier League,Full-back,31,10000000,2025-06-30,8,593,0,0.11,0,0.24,16.69,48.18,Netherlands,Netherlands,right,184,75,no,9.41,7.74,47.06,1.52,50,0.3,0.43,1.06,5.46,7.83,1.06,1,0.15,0,0,0,0,0,0.02,0,0,1,0.15,100,0,0,0.15,0,0.61,50,3.95,65.38,0.76,0.61,0.3,27.17,2.73,34.76,85.15,12.75,69.05,0.04,0.15,3.34,6.53,51.16,0,,0,,0,0,0,0,,,1.21,,0,0
F. Parisi,Fiorentina,Serie A,Full-back,22,10000000,2025-06-30,5,503,0,0.42,1,0.75,19.68,62.73,Italy,Italy,left,178,72,no,11.99,8.05,64.44,1.61,44.44,0.18,0.26,0.72,6.62,9.74,0.72,2,0.36,0,0,0,0,0,0.07,0,0,4,0.72,0,0,0.18,2.5,57.14,4.65,73.08,8.59,64.58,0.72,2.5,1.25,33.82,1.61,47.59,85.71,17.53,75.51,0.13,0.36,6.44,9.13,82.35,0,,0,,0,0,0,0,,,1.43,,0,0
J. Juranović,Union Berlin,Bundesliga,Full-back,28,9000000,2027-06-30,4,303,0,0.1,2,1.12,11.58,53.85,Croatia,Croatia,right,173,68,no,4.46,3.86,61.54,1.49,60,0,0,0,2.08,2.5,0,0,0,0,0,0,0,0,0.03,0,0,1,0.3,0,0,0.59,1.19,25,1.49,60,5.64,52.63,0.59,1.19,1.49,17.82,1.49,26.44,78.65,11.88,70,0.33,0,4.46,7.43,76,0,,0,,0,0,0,0,,,0.59,,0,0
Miguel Gutiérrez,Girona,La Liga,Full-back,22,9000000,2027-06-30,8,786,0,0.13,1,1.28,12.48,42.2,Spain,Spain,left,180,73,no,6.18,4.47,61.54,1.6,50,0.23,0.35,0.11,3.21,4.91,0.46,2,0.23,0,0,0,0,0,0.01,0,0,7,0.8,14.29,0,0.11,1.95,41.18,1.72,53.33,4.81,30.95,0.23,1.15,0.8,26.45,0.34,33.89,87.16,8.7,77.63,0.15,0.57,2.06,3.66,62.5,0,,0,,0,0,0,0,,,0.34,,0,0
Sergio Akieme,Almería,La Liga,Full-back,25,9000000,2026-06-30,8,832,2,0.96,0,0.96,18.39,55.88,Spain,"Spain, Equatorial Guinea",left,175,74,no,7.79,5.84,75.93,1.41,38.46,0.11,0.15,0.22,3.25,4.55,0.65,1,0.11,0,0,0.22,2,0.22,0.1,0,0,5,0.54,100,40,0,2.92,40.74,2.92,48.15,8.55,44.3,0.76,1.08,0.43,23.15,0.97,32.88,83.22,8.55,72.15,0.1,0.43,3.25,4.65,72.09,0,,0,,0,0,0,0,,,0.32,,0,0
M. Wolf,Borussia Dortmund,Bundesliga,Full-back,28,9000000,2024-06-30,6,386,0,0.76,1,0.89,10.26,45.45,Germany,Germany,right,188,81,no,5.83,3.26,50,0.7,0,0.23,0.43,0,3.96,7.29,0.47,1,0.23,0,0,0,0,0,0.18,0,0,1,0.23,0,0,0.23,3.26,50,2.33,40,4.2,38.89,2.33,1.63,0.47,40.1,0.47,51.76,76.58,20.28,66.67,0.21,0.93,6.53,13.52,68.97,0,,0,,0,0,0,0,,,2.1,,0,0
R. Giles,Luton Town,Premier League,Full-back,23,9000000,2025-06-30,4,296,0,0.15,0,0.53,7.6,64,England,England,left,179,72,no,4.26,2.43,62.5,0,0,0,0,0,2.74,2.78,0,0,0,0,0,0,0,0,0.05,0,0,1,0.3,100,0,0,5.78,26.32,2.74,88.89,3.65,75,0.61,1.82,0.61,16.72,0.3,24.32,62.5,7.91,65.38,0.16,0.61,2.74,7.3,66.67,0,,0,,0,0,0,0,,,0,,0,0
V. Coufal,West Ham United,Premier League,Full-back,31,9000000,,8,792,0,0,4,0.96,15.11,48.12,Czech Republic,Czech Republic,right,174,76,no,10.68,7.95,54.29,1.93,47.06,0.45,0.46,0.23,5.91,5.95,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,2.39,33.33,1.25,54.55,2.95,30.77,0.45,1.82,1.59,21.14,0.8,32.73,70.83,15.68,60.14,0.11,0.68,5.11,7.5,69.7,0,,0,,0,0,0,0,,,0.68,,0,0
R. Skov,Hoffenheim,Bundesliga,Full-back,27,9000000,2024-06-30,6,382,1,0.67,1,0.54,11.54,40.82,Denmark,Denmark,left,185,81,no,6.6,4.24,38.89,0.94,50,0.24,0.34,0.24,4.71,6.9,1.18,1,0.24,0,0,0.24,1,0.24,0.16,0,0,8,1.88,25,12.5,0.24,3.06,38.46,1.88,50,3.77,56.25,1.41,1.41,1.18,30.16,1.41,38.87,75.76,12.96,67.27,0.13,0.71,5.18,9.66,73.17,0,,0,,0,0,0,0,,,0.94,,0,0
F. Honorat,Borussia M'gladbach,Bundesliga,Full-back,27,9000000,2026-06-30,7,578,0,0.29,2,3.27,10.59,48.53,France,France,right,180,70,no,4.36,4.36,53.57,1.87,33.33,0.16,0.2,0,1.87,2.4,0.47,0,0,0,0,0,0,0,0.04,0,0,5,0.78,40,0,0.31,5.14,39.39,2.65,41.18,3.27,42.86,2.34,2.65,0.93,27.4,0.31,35.35,71.37,8.72,55.36,0.51,1.71,3.43,6.85,84.09,0,,0,,0,0,0,0,,,0.31,,0,0
N. Tagliafico,Olympique Lyonnais,Ligue 1,Full-back,31,9000000,2025-06-30,8,761,1,0.62,0,0.13,14.43,49.18,Argentina,"Argentina, Italy",left,172,65,no,7.45,6.86,48.28,2.48,38.1,1.42,1.73,0.35,2.72,3.32,1.42,2,0.24,0,0,0.12,1,0.12,0.07,0,0,2,0.24,50,50,0,1.3,9.09,0.47,75,2.13,61.11,0.83,0.59,0.35,27.32,1.3,34.89,82.71,11.47,76.29,0.02,0.12,3.78,5.68,62.5,0,,0,,0,0,0,0,,,0.12,,0,0
A. Caci,Mainz 05,Bundesliga,Full-back,26,8500000,2026-06-30,7,680,1,0.5,0,0.16,12.97,56.12,France,France,right,184,76,no,7.01,4.9,70.27,2.91,45.45,0.4,0.48,0.26,3.18,3.87,0.93,1,0.13,0,0,0.13,1,0.13,0.07,0,0,7,0.93,14.29,14.286,0,2.51,31.58,1.59,58.33,3.31,52,0.93,1.19,0.26,27,0.79,39.18,78.04,16.94,69.53,0.02,0.26,8.07,10.72,82.72,0,,0,,0,0,0,0,,,1.06,,0,0
Pablo Maffeo,Mallorca,La Liga,Full-back,26,8000000,2026-06-30,7,650,0,0.23,0,0.77,19.94,57.64,Spain,Spain,right,172,70,no,7.34,7.75,55.36,3.32,54.17,0.42,0.5,0.14,2.63,3.15,1.8,1,0.14,0,0,0,0,0,0.03,0,0,3,0.42,33.33,0,0,3.74,33.33,3.05,72.73,6.51,70.21,1.25,2.08,1.11,15.51,1.25,22.43,73.46,6.92,74,0.11,0.28,2.49,6.78,73.47,0,,0,,0,0,0,0,,,0,,0,0
C. Roberts,Burnley,Premier League,Full-back,28,8000000,2025-06-30,8,733,0,0,0,0.8,9.21,57.33,Wales,Wales,right,175,76,no,7.98,5.28,72.09,1.11,33.33,0.25,0.31,0.61,3.93,4.9,0.25,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,62.5,0.25,0,1.23,40,0.49,0.74,0.25,32.78,0.86,42.48,86.13,14,78.07,0.1,0.12,4.79,8.35,64.71,0,,0,,0,0,0,0,,,1.35,,0,0
M. Bard,Nice,Ligue 1,Full-back,22,8000000,2025-06-30,8,741,0,0.08,1,1.12,16.64,62.04,France,France,left,173,65,no,10.2,8.26,69.12,2.06,47.06,0,0,0.12,4.49,5.5,0.97,1,0.12,0,0,0,0,0,0.01,0,0,3,0.36,0,0,0.12,1.82,40,2.55,66.67,4.37,58.33,1.09,2.55,1.09,37.29,0.97,48.7,83.29,18.22,72.67,0.14,0.49,4.01,6.8,57.14,0,,0,,0,0,0,0,,,0.97,,0,0
B. Diakité,Lille,Ligue 1,Full-back,22,8000000,2026-06-30,6,598,2,1.2,0,0.02,13.7,54.95,France,"France, Guinea",right,185,74,no,7.22,6.17,63.41,3.31,54.55,0.3,0.45,0.3,3.01,4.51,0.75,2,0.3,0,0,0.3,2,0.3,0.18,1,0.15,4,0.6,50,50,0,0.45,0,0.75,60,2.26,40,1.05,1.2,0.3,49.36,0.45,63.06,94.03,23.78,92.41,0,0,5.42,6.92,69.57,0,,0,,0,0,0,0,,,3.01,,0,0
H. Kamara,Udinese,Serie A,Full-back,29,8000000,2026-06-30,8,583,0,0.18,0,1.17,16.05,48.08,France,"France, Côte d'Ivoire",left,168,67,no,8.49,6.17,60,1.54,60,1.08,1.39,0,3.7,4.77,0.93,0,0,0,0,0,0,0,0.03,0,0,5,0.77,20,0,0,3.7,62.5,3.24,47.62,5.09,39.39,0.93,2.32,0.93,20.53,0.31,27.79,78.33,10.81,68.57,0.18,0.77,2.47,8.03,78.85,0,,0,,0,0,0,0,,,0.31,,0,0
Abner,Real Betis,La Liga,Full-back,23,8000000,2029-06-30,7,564,0,0.14,0,0.49,13.88,42.53,Brazil,Brazil,left,181,74,no,9.89,6.86,55.81,1.44,33.33,0,0,0,6.06,8.64,1.12,2,0.32,0,0,0,0,0,0.02,0,0,2,0.32,0,0,0,2.39,26.67,1.76,36.36,3.51,27.27,1.44,0.48,0,27.77,0.32,39.57,83.06,17.23,77.78,0.08,0.32,3.03,6.22,61.54,0,,0,,0,0,0,0,,,0.48,,0,0
Héctor Bellerín,Real Betis,La Liga,Full-back,28,8000000,,5,491,0,0,0,0.72,14.48,45.57,Spain,Spain,right,178,74,no,7.7,5.13,67.86,1.47,37.5,0.73,1.04,0.37,3.48,4.96,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,21.43,2.02,45.45,4.03,36.36,1.28,0.92,0.73,31.71,0.73,40.88,83.41,17.05,78.49,0.13,0.18,6.05,5.87,71.88,0,,0,,0,0,0,0,,,1.1,,0,0
